Day,Al-Anbar sim,Al-Anbar data,Al-Anbar error,Babil sim,Babil data,Babil error,Baghdad sim,Baghdad data,Baghdad error,Al-Basrah sim,Al-Basrah data,Al-Basrah error,Thi Qar sim,Thi Qar data,Thi Qar error,Al-Qadisiyah sim,Al-Qadisiyah data,Al-Qadisiyah error,Diyala sim,Diyala data,Diyala error,Dohuk sim,Dohuk data,Dohuk error,Arbil sim,Arbil data,Arbil error,Halabja sim,Halabja data,Halabja error,Karbala sim,Karbala data,Karbala error,Kirkuk sim,Kirkuk data,Kirkuk error,Misan sim,Misan data,Misan error,Al-Muthanna sim,Al-Muthanna data,Al-Muthanna error,Al-Najaf sim,Al-Najaf data,Al-Najaf error,Nineveh sim,Nineveh data,Nineveh error,Salah Al-Din sim,Salah Al-Din data,Salah Al-Din error,Al-Sulaimaniyah sim,Al-Sulaimaniyah data,Al-Sulaimaniyah error,Wasit sim,Wasit data,Wasit error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,3750,52697.0,0.928838453802,3862,235.0,15.4340425532,12158,9433.0,0.288879465706,50,50.0,0.0,27,27.0,0.0,1940,40.0,47.5,2954,120.0,23.6166666667,7024,520.0,12.5076923077,1293,3328.0,0.611478365385,394,0.0,0.0,10843,600.0,17.0716666667,995,2665.0,0.626641651032,6,6.0,0.0,3,0.0,0.0,11796,138.0,84.4782608696,4112,311.0,12.2218649518,4211,5540.0,0.239891696751,15671,4067.0,2.85320875338,3460,33.0,103.848484848,112701.0,79810,84549,0,84549,0
1,2546,52763,0.951746489017,2490,260,8.57692307692,4003,9621,0.583930984305,50,54,0.0740740740741,31,30,0.0333333333333,3229,49,64.8979591837,1973,181,9.90055248619,10982,723,14.1894882434,933,3432,0.728146853147,748,0,0.0,13885,629,21.0747217806,350,2827,0.876193845065,7,9,0.222222222222,5,1,4.0,15116,175,85.3771428571,1340,395,2.39240506329,2648,5586,0.525957751522,22750,4134,4.50314465409,6202,48,128.208333333,135881.0,80917,89288,0,89288,0
2,1174,52830,0.977777777778,1223,286,3.27622377622,2587,9809,0.736262615965,50,59,0.152542372881,37,34,0.0882352941176,3945,59,65.8644067797,947,243,2.89711934156,13082,927,13.1121898598,476,3536,0.865384615385,962,0,0.0,15705,659,22.8315629742,213,2989,0.928738708598,7,12,0.416666666667,9,3,2.0,17047,213,79.0328638498,746,480,0.554166666667,1245,5632,0.778941761364,26895,4201,5.40204713164,7677,63,120.857142857,150222.0,82035,94027,0,94027,0
3,756,52897,0.985708074182,757,312,1.42628205128,1639,9998,0.836067213443,50,64,0.21875,44,38,0.157894736842,4398,68,63.6764705882,592,305,0.940983606557,14537,1130,11.8646017699,312,3640,0.914285714286,1084,0,0.0,16798,688,23.4156976744,144,3152,0.954314720812,8,16,0.5,9,5,0.8,18249,250,71.996,510,565,0.0973451327434,838,5679,0.85243880965,29474,4268,5.90581068416,8567,78,108.833333333,159121.0,83153,98766,0,98766,0
4,616,52963,0.988369238903,622,338,0.840236686391,1268,10186,0.875515413312,50,69,0.275362318841,47,42,0.119047619048,4712,78,59.4102564103,442,366,0.207650273224,15711,1334,10.7773613193,237,3744,0.936698717949,1182,0,0.0,17623,718,23.5445682451,98,3314,0.970428485214,10,19,0.473684210526,14,7,1.0,19219,288,65.7326388889,395,650,0.392307692308,633,5725,0.88943231441,31459,4335,6.25697808535,9167,94,96.5212765957,165961.0,84270,103505,0,103505,0
5,513,53030,0.990326230436,513,364,0.409340659341,1077,10375,0.896192771084,50,74,0.324324324324,48,46,0.0434782608696,4995,88,55.7613636364,419,428,0.0210280373832,16767,1537,9.90891346779,217,3848,0.943607068607,1266,0,0.0,18349,747,23.5635876841,75,3477,0.978429680759,10,22,0.545454545455,18,8,1.25,20054,325,60.7046153846,336,735,0.542857142857,545,5771,0.90556229423,33270,4402,6.55792821445,9722,109,88.1926605505,171894.0,85386,108244,0,108244,0
6,453,53097,0.991468444545,470,390,0.205128205128,1029,10563,0.902584493042,50,79,0.367088607595,52,50,0.04,5240,97,53.0206185567,368,490,0.248979591837,17733,1741,9.18552556002,230,3952,0.941801619433,1350,0,0.0,18988,777,23.4375804376,97,3639,0.973344325364,14,26,0.461538461538,20,10,1.0,20861,363,56.4683195592,292,820,0.643902439024,510,5818,0.912341010657,34981,4469,6.82747818304,10245,124,81.6209677419,177360.0,86505,112983,0,112983,0
7,449,53164,0.991554435332,456,416,0.0961538461538,945,10752,0.912109375,50,84,0.404761904762,57,54,0.0555555555556,5478,107,50.1962616822,341,551,0.38112522686,18749,1944,8.6445473251,189,4056,0.953402366864,1421,0,0.0,19638,806,23.364764268,74,3802,0.980536559705,15,29,0.48275862069,23,12,0.916666666667,21623,400,53.0575,321,905,0.645303867403,470,5864,0.919849931787,36682,4536,7.08686067019,10741,140,75.7214285714,182806.0,87622,117722,0,117722,0
8,446,53230,0.991621266203,412,442,0.0678733031674,961,10940,0.912157221207,50,89,0.438202247191,62,57,0.0877192982456,5699,117,47.7094017094,349,613,0.430668841762,19693,2148,8.16806331471,211,4161,0.949291035809,1496,0,0.0,20300,836,23.2822966507,86,3964,0.978304742684,19,33,0.424242424242,31,14,1.21428571429,22334,438,49.9908675799,341,990,0.655555555556,511,5911,0.913551006598,38275,4603,7.31522919835,11185,155,71.1612903226,187694.0,88741,122461,0,122461,0
9,438,53297,0.99178190142,450,468,0.0384615384615,947,11128,0.914899352983,50,94,0.468085106383,66,61,0.0819672131148,5926,126,46.0317460317,364,675,0.460740740741,20678,2351,7.79540621012,165,4265,0.961313012896,1557,0,0.0,20968,865,23.2404624277,69,4127,0.983280833535,20,36,0.444444444444,35,16,1.1875,23037,475,47.4989473684,334,1075,0.689302325581,495,5957,0.916904482122,39952,4671,7.55320059944,11649,170,67.5235294118,192923.0,89857,127200,0,127200,0
