run_id,decision_mode,timestep,n_departed,pct_departed,mean_s2_weight,mean_s2_weight_active,mean_distance_km
0,blend,0,231,38.5000,0.455618,0.468904,10695.0987
0,blend,1,409,68.1667,0.432233,0.466439,11599.4841
0,blend,2,481,80.1667,0.412992,0.465780,11758.8635
0,blend,3,529,88.1667,0.401735,0.465330,11788.5155
0,blend,4,554,92.3333,0.391221,0.463898,11782.9557
0,blend,5,582,97.0000,0.379073,0.464171,11912.6831
0,blend,6,590,98.3333,0.367014,0.462623,11705.1193
0,blend,7,591,98.5000,0.352108,0.462287,11629.1361
0,blend,8,597,99.5000,0.341441,0.462448,11551.2996
0,blend,9,597,99.5000,0.323519,0.461072,11336.3228
0,blend,10,599,99.8333,0.307575,0.457928,11050.9225
0,blend,11,600,100.0000,0.298360,0.455512,10961.9665
0,blend,12,600,100.0000,0.290892,0.456899,10830.3859
0,blend,13,600,100.0000,0.278132,0.453477,10493.0946
0,blend,14,600,100.0000,0.265184,0.448198,10333.7152
0,blend,15,600,100.0000,0.254434,0.445074,10005.6901
0,blend,16,600,100.0000,0.242687,0.443939,9976.0382
0,blend,17,600,100.0000,0.233847,0.441222,9790.7133
0,blend,18,600,100.0000,0.229050,0.439074,9735.1158
0,blend,19,600,100.0000,0.222500,0.439145,9540.5247
0,blend,20,600,100.0000,0.212465,0.435081,9375.5856
0,blend,21,600,100.0000,0.205037,0.434706,9405.2375
0,blend,22,600,100.0000,0.197772,0.437871,9271.8036
0,blend,23,600,100.0000,0.188628,0.433627,9256.9776
0,blend,24,600,100.0000,0.184857,0.433258,9110.5710
0,blend,25,600,100.0000,0.171826,0.431362,8880.7681
0,blend,26,600,100.0000,0.165519,0.431789,8786.2525
0,blend,27,600,100.0000,0.160348,0.435334,8688.0303
0,blend,28,600,100.0000,0.156375,0.434374,8493.4391
0,blend,29,600,100.0000,0.149866,0.436502,8395.2170
0,blend,30,600,100.0000,0.143876,0.431629,8365.5650
0,blend,31,600,100.0000,0.137970,0.431155,8202.4791
0,blend,32,600,100.0000,0.131435,0.435696,8130.2024
0,blend,33,600,100.0000,0.129562,0.439195,8132.0556
0,blend,34,600,100.0000,0.128283,0.439826,8096.8439
0,blend,35,600,100.0000,0.123227,0.440098,7963.4100
0,blend,36,600,100.0000,0.115974,0.434903,7831.8293
0,blend,37,600,100.0000,0.114678,0.441071,8009.7412
0,blend,38,600,100.0000,0.113392,0.436122,7955.9970
0,blend,39,600,100.0000,0.111144,0.438727,7920.7853
0,blend,40,600,100.0000,0.107299,0.437954,7883.7203
0,blend,41,600,100.0000,0.102722,0.437116,7896.6930
0,blend,42,600,100.0000,0.099134,0.434163,7831.8293
0,blend,43,600,100.0000,0.095130,0.432408,7804.0306
0,blend,44,600,100.0000,0.090716,0.428579,7765.1124
0,blend,45,600,100.0000,0.088582,0.432109,7779.9384
0,blend,46,600,100.0000,0.085135,0.432888,7794.7644
0,blend,47,600,100.0000,0.083287,0.434541,7829.9761
0,blend,48,600,100.0000,0.082164,0.436270,7813.2968
1,blend,0,241,40.1667,0.449656,0.470024,10771.0819
1,blend,1,410,68.3333,0.429967,0.467355,11960.8676
1,blend,2,491,81.8333,0.418138,0.473363,12151.7522
1,blend,3,537,89.5000,0.404232,0.471866,12144.3392
1,blend,4,557,92.8333,0.383461,0.468588,11964.5741
1,blend,5,573,95.5000,0.368424,0.466359,11792.2220
1,blend,6,581,96.8333,0.351964,0.464128,11512.3814
1,blend,7,591,98.5000,0.334991,0.463121,11236.2473
1,blend,8,591,98.5000,0.325475,0.461667,11128.7589
1,blend,9,593,98.8333,0.316819,0.460269,11106.5199
1,blend,10,596,99.3333,0.300868,0.457014,10843.3586
1,blend,11,599,99.8333,0.289432,0.456999,10659.8870
1,blend,12,600,100.0000,0.273672,0.454857,10496.8011
1,blend,13,600,100.0000,0.257119,0.445872,10198.4280
1,blend,14,600,100.0000,0.250741,0.445103,9901.9082
1,blend,15,600,100.0000,0.238082,0.440893,9701.7573
1,blend,16,600,100.0000,0.226952,0.437850,9447.8623
1,blend,17,600,100.0000,0.219980,0.435604,9471.9545
1,blend,18,600,100.0000,0.211011,0.431419,9414.5038
1,blend,19,600,100.0000,0.205319,0.430738,9134.6632
1,blend,20,600,100.0000,0.196231,0.429703,9045.7073
1,blend,21,600,100.0000,0.190035,0.428650,8990.1098
1,blend,22,600,100.0000,0.184808,0.428126,8956.7513
1,blend,23,600,100.0000,0.182934,0.432127,8882.6214
1,blend,24,600,100.0000,0.173035,0.425495,8852.9694
1,blend,25,600,100.0000,0.166240,0.424442,8728.8017
1,blend,26,600,100.0000,0.162174,0.424910,8586.1016
1,blend,27,600,100.0000,0.158334,0.427931,8560.1561
1,blend,28,600,100.0000,0.151132,0.423734,8384.0975
1,blend,29,600,100.0000,0.146004,0.417155,8393.3637
1,blend,30,600,100.0000,0.144154,0.421913,8322.9403
1,blend,31,600,100.0000,0.142162,0.424363,8302.5545
1,blend,32,600,100.0000,0.135789,0.422142,8245.1038
1,blend,33,600,100.0000,0.131002,0.418091,8287.7285
1,blend,34,600,100.0000,0.130037,0.417233,8308.1143
1,blend,35,600,100.0000,0.123959,0.413196,8211.7453
1,blend,36,600,100.0000,0.122455,0.415101,8226.5713
1,blend,37,600,100.0000,0.115798,0.416042,8228.4246
1,blend,38,600,100.0000,0.110038,0.412644,8133.9089
1,blend,39,600,100.0000,0.102909,0.406221,7985.6490
1,blend,40,600,100.0000,0.101954,0.407814,7948.5840
1,blend,41,600,100.0000,0.097598,0.412386,7950.4373
