Day,source,spoke_0,spoke_1,spoke_2,spoke_3,spoke_4,spoke_5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.3,0.0,0.0,0.0,0.0,0.0,0.0
2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3,0.0,0.21,0.21,0.21,0.21,0.21
4,0.3,0.0,0.21,0.21,0.21,0.21,0.21
5,0.3,0.0,0.21,0.21,0.21,0.21,0.21
6,0.3,0.0,0.21,0.21,0.21,0.21,0.21
7,0.3,0.0,0.21,0.21,0.21,0.21,0.21
8,1.0,0.0,0.21,0.21,0.21,0.21,0.21
9,1.0,0.0,0.21,0.21,0.21,0.21,0.21
10,1.0,0.0,0.7,0.7,0.7,0.7,0.7
11,1.0,0.0,0.7,0.7,0.7,0.7,0.7
12,1.0,0.0,0.7,0.7,0.7,0.7,0.7
13,1.0,0.0,0.7,0.7,0.7,0.7,0.7
14,1.0,0.0,0.7,0.7,0.7,0.7,0.7
15,1.0,0.0,0.7,0.7,0.7,0.7,0.7
16,1.0,0.0,0.7,0.7,0.7,0.7,0.7
17,1.0,0.0,0.7,0.7,0.7,0.7,0.7
18,1.0,0.0,0.7,0.7,0.7,0.7,0.7
19,1.0,0.0,0.7,0.7,0.7,0.7,0.7
20,0.1,0.0,0.7,0.7,0.7,0.7,0.7
21,0.1,0.0,0.7,0.7,0.7,0.7,0.7
22,0.1,0.0,0.07,0.07,0.07,0.07,0.07
23,0.1,0.0,0.07,0.07,0.07,0.07,0.07
24,0.1,0.0,0.07,0.07,0.07,0.07,0.07
25,0.1,0.0,0.07,0.07,0.07,0.07,0.07
26,0.1,0.0,0.07,0.07,0.07,0.07,0.07
27,0.1,0.0,0.07,0.07,0.07,0.07,0.07
28,0.1,0.0,0.07,0.07,0.07,0.07,0.07
29,0.1,0.0,0.07,0.07,0.07,0.07,0.07
30,0.1,0.0,0.07,0.07,0.07,0.07,0.07
31,0.1,0.0,0.07,0.07,0.07,0.07,0.07
32,0.1,0.0,0.07,0.07,0.07,0.07,0.07
33,0.1,0.0,0.07,0.07,0.07,0.07,0.07
34,0.1,0.0,0.07,0.07,0.07,0.07,0.07
35,0.1,0.0,0.07,0.07,0.07,0.07,0.07
36,0.1,0.0,0.07,0.07,0.07,0.07,0.07
37,0.1,0.0,0.07,0.07,0.07,0.07,0.07
38,0.1,0.0,0.07,0.07,0.07,0.07,0.07
39,0.1,0.0,0.07,0.07,0.07,0.07,0.07
40,0.1,0.0,0.07,0.07,0.07,0.07,0.07
41,0.1,0.0,0.07,0.07,0.07,0.07,0.07
42,0.1,0.0,0.07,0.07,0.07,0.07,0.07
43,0.1,0.0,0.07,0.07,0.07,0.07,0.07
44,0.1,0.0,0.07,0.07,0.07,0.07,0.07
45,0.1,0.0,0.07,0.07,0.07,0.07,0.07
46,0.1,0.0,0.07,0.07,0.07,0.07,0.07
47,0.1,0.0,0.07,0.07,0.07,0.07,0.07
48,0.1,0.0,0.07,0.07,0.07,0.07,0.07
