timestep,mean_ps2,n,scenario,mode,rep
0,0.0,8,official_zones,sys1_only,0
1,0.0,8,official_zones,sys1_only,0
2,0.0,8,official_zones,sys1_only,0
3,0.0,7,official_zones,sys1_only,0
4,0.0,9,official_zones,sys1_only,0
5,0.0,6,official_zones,sys1_only,0
6,0.0,6,official_zones,sys1_only,0
7,0.0,7,official_zones,sys1_only,0
8,0.0,5,official_zones,sys1_only,0
9,0.0,3,official_zones,sys1_only,0
10,0.0,1,official_zones,sys1_only,0
13,0.0,1,official_zones,sys1_only,0
14,0.0,1,official_zones,sys1_only,0
51,0.0,1,official_zones,sys1_only,0
52,0.0,1,official_zones,sys1_only,0
53,0.0,1,official_zones,sys1_only,0
0,0.0,9,official_zones,sys1_only,1
1,0.0,7,official_zones,sys1_only,1
2,0.0,6,official_zones,sys1_only,1
3,0.0,6,official_zones,sys1_only,1
4,0.0,6,official_zones,sys1_only,1
5,0.0,7,official_zones,sys1_only,1
6,0.0,6,official_zones,sys1_only,1
7,0.0,8,official_zones,sys1_only,1
8,0.0,7,official_zones,sys1_only,1
9,0.0,5,official_zones,sys1_only,1
10,0.0,5,official_zones,sys1_only,1
11,0.0,4,official_zones,sys1_only,1
12,0.0,3,official_zones,sys1_only,1
13,0.0,2,official_zones,sys1_only,1
14,0.0,2,official_zones,sys1_only,1
15,0.0,2,official_zones,sys1_only,1
16,0.0,2,official_zones,sys1_only,1
17,0.0,1,official_zones,sys1_only,1
18,0.0,1,official_zones,sys1_only,1
19,0.0,1,official_zones,sys1_only,1
20,0.0,1,official_zones,sys1_only,1
21,0.0,1,official_zones,sys1_only,1
22,0.0,1,official_zones,sys1_only,1
24,0.0,1,official_zones,sys1_only,1
25,0.0,1,official_zones,sys1_only,1
42,0.0,1,official_zones,sys1_only,1
0,0.0,9,official_zones,sys1_only,3
1,0.0,10,official_zones,sys1_only,3
2,0.0,8,official_zones,sys1_only,3
3,0.0,9,official_zones,sys1_only,3
4,0.0,7,official_zones,sys1_only,3
5,0.0,6,official_zones,sys1_only,3
6,0.0,5,official_zones,sys1_only,3
7,0.0,4,official_zones,sys1_only,3
8,0.0,5,official_zones,sys1_only,3
9,0.0,4,official_zones,sys1_only,3
10,0.0,4,official_zones,sys1_only,3
11,0.0,4,official_zones,sys1_only,3
12,0.0,3,official_zones,sys1_only,3
13,0.0,3,official_zones,sys1_only,3
14,0.0,3,official_zones,sys1_only,3
15,0.0,1,official_zones,sys1_only,3
16,0.0,2,official_zones,sys1_only,3
17,0.0,2,official_zones,sys1_only,3
18,0.0,1,official_zones,sys1_only,3
20,0.0,1,official_zones,sys1_only,3
21,0.0,1,official_zones,sys1_only,3
