timestep,zone,mean_ps2,n,scenario,mode,rep
0,inner,0.0,30,official_zones,sys1_only,0
1,inner,0.0,20,official_zones,sys1_only,0
2,inner,0.0,18,official_zones,sys1_only,0
3,inner,0.0,16,official_zones,sys1_only,0
4,inner,0.0,14,official_zones,sys1_only,0
5,inner,0.0,10,official_zones,sys1_only,0
6,inner,0.0,9,official_zones,sys1_only,0
7,inner,0.0,5,official_zones,sys1_only,0
8,inner,0.0,5,official_zones,sys1_only,0
9,inner,0.0,8,official_zones,sys1_only,0
10,inner,0.0,6,official_zones,sys1_only,0
11,inner,0.0,5,official_zones,sys1_only,0
12,inner,0.0,5,official_zones,sys1_only,0
13,inner,0.0,6,official_zones,sys1_only,0
14,inner,0.0,6,official_zones,sys1_only,0
15,inner,0.0,9,official_zones,sys1_only,0
16,inner,0.0,11,official_zones,sys1_only,0
17,inner,0.0,10,official_zones,sys1_only,0
18,inner,0.0,13,official_zones,sys1_only,0
19,inner,0.0,11,official_zones,sys1_only,0
20,inner,0.0,9,official_zones,sys1_only,0
21,inner,0.0,8,official_zones,sys1_only,0
22,inner,0.0,7,official_zones,sys1_only,0
23,inner,0.0,5,official_zones,sys1_only,0
24,inner,0.0,4,official_zones,sys1_only,0
25,inner,0.0,5,official_zones,sys1_only,0
26,inner,0.0,5,official_zones,sys1_only,0
27,inner,0.0,6,official_zones,sys1_only,0
28,inner,0.0,5,official_zones,sys1_only,0
29,inner,0.0,5,official_zones,sys1_only,0
30,inner,0.0,4,official_zones,sys1_only,0
31,inner,0.0,2,official_zones,sys1_only,0
32,inner,0.0,3,official_zones,sys1_only,0
33,inner,0.0,3,official_zones,sys1_only,0
34,inner,0.0,2,official_zones,sys1_only,0
35,inner,0.0,1,official_zones,sys1_only,0
37,inner,0.0,1,official_zones,sys1_only,0
38,inner,0.0,1,official_zones,sys1_only,0
39,inner,0.0,1,official_zones,sys1_only,0
40,inner,0.0,1,official_zones,sys1_only,0
41,inner,0.0,4,official_zones,sys1_only,0
42,inner,0.0,4,official_zones,sys1_only,0
43,inner,0.0,3,official_zones,sys1_only,0
44,inner,0.0,4,official_zones,sys1_only,0
45,inner,0.0,4,official_zones,sys1_only,0
46,inner,0.0,3,official_zones,sys1_only,0
47,inner,0.0,2,official_zones,sys1_only,0
48,inner,0.0,2,official_zones,sys1_only,0
49,inner,0.0,2,official_zones,sys1_only,0
50,inner,0.0,2,official_zones,sys1_only,0
51,inner,0.0,1,official_zones,sys1_only,0
52,inner,0.0,1,official_zones,sys1_only,0
53,inner,0.0,2,official_zones,sys1_only,0
54,inner,0.0,1,official_zones,sys1_only,0
55,inner,0.0,1,official_zones,sys1_only,0
56,inner,0.0,2,official_zones,sys1_only,0
57,inner,0.0,1,official_zones,sys1_only,0
59,inner,0.0,2,official_zones,sys1_only,0
60,inner,0.0,2,official_zones,sys1_only,0
61,inner,0.0,2,official_zones,sys1_only,0
62,inner,0.0,2,official_zones,sys1_only,0
63,inner,0.0,2,official_zones,sys1_only,0
64,inner,0.0,2,official_zones,sys1_only,0
65,inner,0.0,2,official_zones,sys1_only,0
66,inner,0.0,2,official_zones,sys1_only,0
67,inner,0.0,2,official_zones,sys1_only,0
68,inner,0.0,2,official_zones,sys1_only,0
69,inner,0.0,2,official_zones,sys1_only,0
70,inner,0.0,2,official_zones,sys1_only,0
71,inner,0.0,3,official_zones,sys1_only,0
72,inner,0.0,2,official_zones,sys1_only,0
0,mid,0.0,108,official_zones,sys1_only,0
1,mid,0.0,109,official_zones,sys1_only,0
2,mid,0.0,92,official_zones,sys1_only,0
3,mid,0.0,76,official_zones,sys1_only,0
4,mid,0.0,71,official_zones,sys1_only,0
5,mid,0.0,60,official_zones,sys1_only,0
6,mid,0.0,50,official_zones,sys1_only,0
7,mid,0.0,45,official_zones,sys1_only,0
8,mid,0.0,40,official_zones,sys1_only,0
9,mid,0.0,36,official_zones,sys1_only,0
10,mid,0.0,30,official_zones,sys1_only,0
11,mid,0.0,28,official_zones,sys1_only,0
12,mid,0.0,20,official_zones,sys1_only,0
13,mid,0.0,17,official_zones,sys1_only,0
14,mid,0.0,18,official_zones,sys1_only,0
15,mid,0.0,13,official_zones,sys1_only,0
16,mid,0.0,14,official_zones,sys1_only,0
17,mid,0.0,12,official_zones,sys1_only,0
18,mid,0.0,7,official_zones,sys1_only,0
19,mid,0.0,6,official_zones,sys1_only,0
20,mid,0.0,7,official_zones,sys1_only,0
21,mid,0.0,7,official_zones,sys1_only,0
22,mid,0.0,8,official_zones,sys1_only,0
23,mid,0.0,7,official_zones,sys1_only,0
24,mid,0.0,8,official_zones,sys1_only,0
25,mid,0.0,5,official_zones,sys1_only,0
26,mid,0.0,6,official_zones,sys1_only,0
27,mid,0.0,6,official_zones,sys1_only,0
28,mid,0.0,8,official_zones,sys1_only,0
29,mid,0.0,8,official_zones,sys1_only,0
30,mid,0.0,9,official_zones,sys1_only,0
31,mid,0.0,11,official_zones,sys1_only,0
32,mid,0.0,9,official_zones,sys1_only,0
33,mid,0.0,9,official_zones,sys1_only,0
34,mid,0.0,9,official_zones,sys1_only,0
35,mid,0.0,10,official_zones,sys1_only,0
