Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,41106.6092851,1.0,0,0.0,0.0,0,0.0,0.0,0,44682.7090324,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4993.97949674,1.0,0,14.6974456477,1.0,0,0,0,0,0,0
1,0,3,1.0,0,339,1.0,0,41105,1.0,0,17,1.0,0,10,1.0,0,44793,1.0,0,0,0.0,0,46,1.0,0,694,1.0,0,5073,1.0,0,18,1.0,70.84461538461538,92098,1300,1300,0,0
2,0,7,1.0,0,678,1.0,0,41104,1.0,0,34,1.0,0,21,1.0,0,44847,1.0,0,0,0.0,0,93,1.0,9,1388,0.993515850144,0,5106,1.0,0,18,1.0,37.34467574059247,93296,2498,2498,9,0
3,0,11,1.0,0,1017,1.0,0,41104,1.0,0,51,1.0,0,32,1.0,0,44864,1.0,0,1,1.0,0,140,1.0,25,2083,0.987998079693,0,5117,1.0,1,50,0.98,25.72004357298475,94470,3672,3672,26,0
4,1,15,0.933333333333,0,1356,1.0,0,41103,1.0,0,68,1.0,0,43,1.0,1,44876,0.999977716374,0,1,1.0,0,187,1.0,55,2777,0.980194454447,8,5171,0.998452910462,5,82,0.939024390244,19.587994263470602,95679,4881,4881,70,0
5,3,19,0.842105263158,0,1695,1.0,0,41102,1.0,0,85,1.0,0,54,1.0,2,44925,0.999955481358,0,2,1.0,0,234,1.0,111,3472,0.968029953917,16,5179,0.996910600502,11,98,0.887755102041,15.942310862040546,96865,6067,6067,143,0
6,3,23,0.869565217391,0,2034,1.0,0,41101,1.0,0,102,1.0,0,65,1.0,4,44938,0.999910988473,0,2,1.0,0,281,1.0,176,4166,0.957753240518,32,5272,0.993930197269,18,139,0.870503597122,13.36382252559727,98123,7325,7325,233,0
7,4,27,0.851851851852,0,2373,1.0,0,41100,1.0,0,119,1.0,0,76,1.0,9,44988,0.999799946652,0,3,1.0,0,327,1.0,242,4860,0.950205761317,40,5295,0.992445703494,26,156,0.833333333333,11.6118930330753,99324,8526,8526,321,0
8,8,31,0.741935483871,0,2712,1.0,0,41099,1.0,0,136,1.0,0,87,1.0,14,45038,0.999689151383,0,3,1.0,0,374,1.0,334,5555,0.939873987399,55,5427,0.989865487378,41,255,0.839215686275,10.108377860671439,100717,9919,9919,452,0
9,13,35,0.628571428571,0,3052,1.0,0,41099,1.0,0,153,1.0,0,98,1.0,19,45046,0.999578208942,0,4,1.0,0,421,1.0,445,6249,0.928788606177,85,5754,0.985227667709,58,371,0.843665768194,8.852490421455938,102282,11484,11484,620,0
